universe_slug,universe_name,requested_tickers,used_tickers,dropped_tickers,signal_date,conservative_candidates,strategy_candidates,cost_bps,total_return,CAGR,annual_vol,Sharpe,max_drawdown
author_50,作者原始 50 只,50,49,1,2026-06-23,3,10,10,15.62000102018838,0.30892074212482656,0.2717303530963268,1.1273491374114923,-0.33879593525724094
large_cap_100,扩展大盘 100 只,100,100,0,2026-06-23,2,10,10,12.136031798662364,0.2797575460449173,0.2753869089874655,1.0343101836680266,-0.3482777635729879
sector_balanced_100,行业均衡 100 只,100,100,0,2026-06-23,3,10,10,6.394410490082021,0.21122412909310007,0.23683976160778525,0.9282256510491209,-0.34989814826311494
