signal_date,selected_ticker,selected_score,best_risk_ticker,best_risk_score,defensive_signal
2016-07-29,GLD,0.2059840991856985,GLD,0.2059840991856985,False
2016-08-31,IWM,0.2097624432689289,IWM,0.2097624432689289,False
2016-09-30,IWM,0.132037637817902,IWM,0.132037637817902,False
2016-10-31,QQQ,0.11232956231134739,QQQ,0.11232956231134739,False
2016-11-30,IWM,0.15390078601103907,IWM,0.15390078601103907,False
2016-12-30,IWM,0.18739048145394577,IWM,0.18739048145394577,False
2017-01-31,IWM,0.12466389429759595,IWM,0.12466389429759595,False
2017-02-28,IWM,0.1262765845986049,IWM,0.1262765845986049,False
2017-03-31,QQQ,0.1206844721440723,QQQ,0.1206844721440723,False
2017-04-28,IWM,0.1817354220111711,IWM,0.1817354220111711,False
2017-05-31,QQQ,0.20853275902805302,QQQ,0.20853275902805302,False
2017-06-30,QQQ,0.16730294834111148,QQQ,0.16730294834111148,False
2017-07-31,QQQ,0.15532551833443642,QQQ,0.15532551833443642,False
2017-08-31,QQQ,0.12985096954973652,QQQ,0.12985096954973652,False
2017-09-29,QQQ,0.10413518853288606,QQQ,0.10413518853288606,False
2017-10-31,QQQ,0.12433596896035848,QQQ,0.12433596896035848,False
2017-11-30,IWM,0.13473698269435275,IWM,0.13473698269435275,False
2017-12-29,QQQ,0.13649621577813909,QQQ,0.13649621577813909,False
2018-01-31,QQQ,0.18778079695200756,QQQ,0.18778079695200756,False
2018-02-28,QQQ,0.14860730264267152,QQQ,0.14860730264267152,False
2018-03-29,QQQ,0.1050204886747399,QQQ,0.1050204886747399,False
2018-04-30,QQQ,0.06170357281490335,QQQ,0.06170357281490335,False
2018-05-31,QQQ,0.10023989222649665,QQQ,0.10023989222649665,False
2018-06-29,QQQ,0.10616635265635743,QQQ,0.10616635265635743,False
2018-07-31,IWM,0.0671207279056778,IWM,0.0671207279056778,False
2018-08-31,IWM,0.15761523573588687,IWM,0.15761523573588687,False
2018-09-28,QQQ,0.16482064463230106,QQQ,0.16482064463230106,False
2018-10-31,QQQ,0.05933742516275142,QQQ,0.05933742516275142,False
2018-11-30,SPY,0.02657879800646401,SPY,0.02657879800646401,False
2018-12-31,GLD,0.021913176912635723,GLD,0.021913176912635723,False
2019-01-31,GLD,0.07552377185590697,GLD,0.07552377185590697,False
2019-02-28,GLD,0.09232662787691037,GLD,0.09232662787691037,False
2019-03-29,TLT,0.09307576680938467,TLT,0.09307576680938467,False
2019-04-30,QQQ,0.12135312503804552,QQQ,0.12135312503804552,False
2019-05-31,TLT,0.15843230929412266,TLT,0.15843230929412266,False
2019-06-28,QQQ,0.2154379770755115,QQQ,0.2154379770755115,False
2019-07-31,QQQ,0.14100320765518815,QQQ,0.14100320765518815,False
2019-08-30,TLT,0.24244831090270313,TLT,0.24244831090270313,False
2019-09-30,TLT,0.14533709013521268,TLT,0.14533709013521268,False
2019-10-31,GLD,0.17516498566089256,GLD,0.17516498566089256,False
2019-11-29,QQQ,0.18406412287693108,QQQ,0.18406412287693108,False
2019-12-31,QQQ,0.14330432911856783,QQQ,0.14330432911856783,False
2020-01-31,QQQ,0.1511651247999961,QQQ,0.1511651247999961,False
2020-02-28,QQQ,0.10237416488027806,QQQ,0.10237416488027806,False
2020-03-31,TLT,0.16451435228273703,TLT,0.16451435228273703,False
2020-04-30,TLT,0.19197857062058143,TLT,0.19197857062058143,False
2020-05-29,GLD,0.1817060999626665,GLD,0.1817060999626665,False
2020-06-30,TLT,0.21868964818415426,TLT,0.21868964818415426,False
2020-07-31,GLD,0.24174640328182995,GLD,0.24174640328182995,False
2020-08-31,QQQ,0.4383978077144359,QQQ,0.4383978077144359,False
2020-09-30,QQQ,0.46178107669869295,QQQ,0.46178107669869295,False
2020-10-30,QQQ,0.23269157418452102,QQQ,0.23269157418452102,False
2020-11-30,IWM,0.3126306296760757,IWM,0.3126306296760757,False
2020-12-31,IWM,0.37883389466311956,IWM,0.37883389466311956,False
2021-01-29,IWM,0.4046381367734966,IWM,0.4046381367734966,False
2021-02-26,IWM,0.4143083170924826,IWM,0.4143083170924826,False
2021-03-31,IWM,0.4823835333843487,IWM,0.4823835333843487,False
2021-04-30,IWM,0.4763607591794614,IWM,0.4763607591794614,False
2021-05-28,IWM,0.25195603882037876,IWM,0.25195603882037876,False
2021-06-30,IWM,0.1738576773423619,IWM,0.1738576773423619,False
2021-07-30,SPY,0.1927085969897826,SPY,0.1927085969897826,False
2021-08-31,QQQ,0.21242480787300244,QQQ,0.21242480787300244,False
2021-09-30,QQQ,0.12422092730404222,QQQ,0.12422092730404222,False
2021-10-29,QQQ,0.14496443915050383,QQQ,0.14496443915050383,False
2021-11-30,QQQ,0.1820258919532587,QQQ,0.1820258919532587,False
2021-12-31,QQQ,0.12518629295517636,QQQ,0.12518629295517636,False
2022-01-31,SPY,0.032899966276492165,SPY,0.032899966276492165,False
2022-02-28,GLD,0.051211045532319366,GLD,0.051211045532319366,False
2022-03-31,GLD,0.10004866979449223,GLD,0.10004866979449223,False
2022-04-29,GLD,0.061566217470119255,GLD,0.061566217470119255,False
2022-05-31,GLD,0.0340785461610178,GLD,0.0340785461610178,False
2022-06-30,SHY,-0.01462330312249116,GLD,-0.01462330312249116,True
2022-07-29,SHY,-0.023737226017629398,GLD,-0.023737226017629398,True
2022-08-31,SHY,-0.08819824701692403,SPY,-0.08819824701692403,True
2022-09-30,SHY,-0.1438139861904787,GLD,-0.1438139861904787,True
2022-10-31,SHY,-0.0010059889877739314,IWM,-0.0010059889877739314,True
2022-11-30,IWM,0.019024933785876108,IWM,0.019024933785876108,False
2022-12-30,IWM,0.03962327084871342,IWM,0.03962327084871342,False
2023-01-31,GLD,0.09329675191441544,GLD,0.09329675191441544,False
2023-02-28,GLD,0.06598853660389592,GLD,0.06598853660389592,False
2023-03-31,QQQ,0.2055537490632715,QQQ,0.2055537490632715,False
2023-04-28,GLD,0.2165097662877098,GLD,0.2165097662877098,False
2023-05-31,QQQ,0.19090238820050875,QQQ,0.19090238820050875,False
2023-06-30,QQQ,0.3913900103640129,QQQ,0.3913900103640129,False
2023-07-31,QQQ,0.3060928962788301,QQQ,0.3060928962788301,False
2023-08-31,QQQ,0.29136942303875424,QQQ,0.29136942303875424,False
2023-09-29,QQQ,0.11949906235503716,QQQ,0.11949906235503716,False
2023-10-31,QQQ,0.09083519133837092,QQQ,0.09083519133837092,False
2023-11-30,QQQ,0.12051218841631584,QQQ,0.12051218841631584,False
2023-12-29,QQQ,0.1129556945007475,QQQ,0.1129556945007475,False
2024-01-31,QQQ,0.09108555801612539,QQQ,0.09108555801612539,False
2024-02-29,QQQ,0.16602387267076502,QQQ,0.16602387267076502,False
2024-03-28,QQQ,0.24408815696303932,QQQ,0.24408815696303932,False
2024-04-30,QQQ,0.21476549387757915,QQQ,0.21476549387757915,False
2024-05-31,SPY,0.16378904374243675,SPY,0.16378904374243675,False
2024-06-28,QQQ,0.17333950191287895,QQQ,0.17333950191287895,False
2024-07-31,GLD,0.20217567906875478,GLD,0.20217567906875478,False
2024-08-30,GLD,0.221752661079327,GLD,0.221752661079327,False
2024-09-30,GLD,0.18150882809800817,GLD,0.18150882809800817,False
2024-10-31,GLD,0.19653561310848633,GLD,0.19653561310848633,False
2024-11-29,IWM,0.1827419781382229,IWM,0.1827419781382229,False
2024-12-31,GLD,0.12613371968210685,GLD,0.12613371968210685,False
2025-01-31,GLD,0.14129328658416695,GLD,0.14129328658416695,False
2025-02-28,GLD,0.13826796081046222,GLD,0.13826796081046222,False
2025-03-31,GLD,0.18546868074816159,GLD,0.18546868074816159,False
2025-04-30,GLD,0.19825646166183275,GLD,0.19825646166183275,False
2025-05-30,GLD,0.23620672922610808,GLD,0.23620672922610808,False
2025-06-30,GLD,0.2589517219057549,GLD,0.2589517219057549,False
2025-07-31,GLD,0.17172027504534082,GLD,0.17172027504534082,False
2025-08-29,GLD,0.20815140577113422,GLD,0.20815140577113422,False
2025-09-30,QQQ,0.2832487723053321,QQQ,0.2832487723053321,False
2025-10-31,QQQ,0.32607005016551716,QQQ,0.32607005016551716,False
2025-11-28,GLD,0.2776020984352705,GLD,0.2776020984352705,False
2025-12-31,GLD,0.3001017452875854,GLD,0.3001017452875854,False
2026-01-30,GLD,0.4686758144862402,GLD,0.4686758144862402,False
2026-02-27,GLD,0.5208915926074678,GLD,0.5208915926074678,False
2026-03-31,GLD,0.21048191708803232,GLD,0.21048191708803232,False
2026-04-30,GLD,0.15087473998048173,GLD,0.15087473998048173,False
2026-05-29,QQQ,0.19530614110303945,QQQ,0.19530614110303945,False
2026-06-23,IWM,0.2046996882946186,IWM,0.2046996882946186,False
